term	paraphrase
anomalie structurale et cytoarchitecturale	neuropile , interactions neurone- glie
gène de facteur orexigène	NPY , AgRP
graisse insaturée	huile d' olive
autisme de Kanner	les troubles développementaux de la personnalité ; trouble de l' unité
narcolepsie	maladie de Gélineau
pathologie neurodégénérative	maladie de Parkinson , atrophie multisystématisée
comportement onirique	trouble du comportement du sommeil paradoxal
traumatisme oculaire	contusion , plaie perforante
cataracte syndermatotique	association cataracte - syndromes dermatologiques
bacille de Klebs-Loeffler	corynebacterium diphteriae
résidu polaire hautement conservé	notamment asparagine , acide glutamique et glutamine
résumer à des signes banals , aspécifiques telles des arthralgies intermittentes	par exemple un rhumatisme palindromique
traitement pharmacologique	par exemple administration de L-DOPA
phase initiale inflammatoire	ostéite
cellule	PC12 ou GH3
syndrome de Blau	maladie héréditaire rare , caractérisée par une inflammation granulomateuse de la peau , des articulations et des yeux débutant dans l'enfance
cryoglobuline	des immunoglobulines (Ig) anormales qui précipitent lors d' une exposition au froid
Xeroderma pigmentosum	une maladie génétique provoquant l' apparition précoce de cancers cutanés
nom de Xeroderma	ce mot latin signifiant littéralement « en parchemin
Ori	l' origine de réplication
gène	ompF , ompC et ompR
EMAD	groupe hétérogène des formes frontières de SEP
maladie infectieuse	infection chronique de l'os et/ou des structures adjacentes (ostéomyélite , spondylite , discite , ostéite)
cause infectieuse	mycobactéries atypiques , en particulier chez des immunodéprimés [21] , lèpre [4] and [7] , histoplasmose [22] , candidose [3] and [5] , toxoplasmose [4] , Epstein-Barr virus
trouble du rythme cardiaque	extrasystolies auriculaires ou ventriculaires , bradycardie ou tachycardie sinusale
trouble ano-rectaux et du transit	incontinence ,constipation
trouble génito-sexuel	dysfonction érectile chez l' homme
Syndrome de retard de phase	il associe un endormissement et un réveil très tardifs , et ne doit pas être confondu avec une insomnie avec retard d' endormissement qui peut en effet être une plainte subjective
trouble de la transition veille-sommeil ou sommeil-veille	rythmies du sommeil , somniloquie
trouble moteur	akinésie
coping	il s'agit de la capacité à surmonter un événement éprouvant et d'en diminuer l'impact sur son bien être physique et psychique
Parkinson juvénile	débutant avant 20 ans
emphysème pulmonaire	a été défini comme un espace d' hypodensité bien contrasté avec le parenchyme pulmonaire
atteinte interstitielle	a été définie comme un épaississement de l' interstitium pulmonaire périlobulaire (épaississement régulier nodulaire ou irrégulier des septa et distorsion du lobule pulmonaire ou des bronchiectasies de traction) et intralobulaire (opacités linéaires entrecroisées en une fine réticulation et/ou aspect de verre dépoli)
atteinte bronchique	a été définie comme la dilatation luminale et épaississement pariétal des bronches segmentaires , soussegmentaires et distales , des petites opacités centrolobulaires , des hypodensités et des signes de piégeage expiratoire en rapport avec une atteinte bronchiolaire obstructive
atteinte pleurale	a été définie comme un épanchement liquidien dans la cavité pleurale , des plaques pleurales et des épaississements pleuraux
modification morphologique	à savoir obésité facio-tronculaire , bosse de bison , et cutanées (hématomes , lésions purpuriques)
acroparesthésie et des angiokératome	appelé douleurs des extrémités
MEFV	appelé ME pour mediterranean et FV pour fever
dyskinésie	appelé mouvements anormaux involontaires
protéine	appelé UCH-L1
segment interne du pallidum	appelé noyau entopédonculaire
échelle d' évaluation motrice	appelé « échelle de Schneider et Kovelowski »
vacuole	appelé macropinosome
Virus de l' Hépatite C	appelé VHC
synapse virologique	appelé site de contact entre les cellules
réseau à la surface des cellules	appelé tetraspanin web ou microdomaine enrichi en tétraspanines
protéine	appelé EWI-2wint
domaine à glycine	appelé glycine zipper
domaine à glycine	appelé glycine zipper (G/A/SXXXG/A/SXXXG/A/S)
population cellulaire R1	appelé population résistante
pThymG	appelé le plasmide comportant les diols de thymines
onde électromagnétique	appelé photon ?
liens	appelé Linking number , Lk
protéine	appelé StpA
protéine à activité GTPase	appelé BipA
forme clinique et neuropathologique rare	appelé d' autres formes frontières
fonction physiologique	appelé le remodelage osseux
sommeil Non-REM	appelé sommeil sans phase de mouvements oculaires rapides
souche CF7968	appelé K12
liquide de perfusion	liquide céphalo-rachidien artificiel
protéine	Gyrase , Hsp90 , histidine kinase et MutL
onychose psoriasique	appelée onycho-pachydermo-périostite psoriasique
protéine p53	aussi appelée protéine gardienne du génome
« myopathie de Steinert »	est l'affection la plus fréquente des myopathies diagnostiquées à l'âge adulte
paramètre ls	définit comme « s » pour sibling , c'est-à-dire frères ou soeurs, définit comme le rapport de la prévalence de la maladie chez les apparentés du premier degré sur la prévalence de la maladie dans la population générale
squaring vertebral	c'est-à-dire une « mise au carré »
localisation	comme la peau , les yeux , la muqueuse nasale , les atteintes ostéo-articulaires ou hépatospléniques
facteurs de risque vasculaires dits « non conventionnels »	comme la ménopause précoce , la corticothérapie au long cours , l'insuffisance rénale , l'hypertriglycéridémie , l'hyperhomocystéinémie , l'insulinorésistance , l'inflammation chronique et le syndrome métabolique
certain virus	comme le CMV , le HSV , l'EBV en cas d'hypercellularité dans le LCS , mais également le virus JC
pathologie neurodégénérative	comme la démence de type Alzheimer , la maladie de Parkinson , la paralysie supranucléaire progressive
médicament	comme le Dépamide®
maladie complexe	comme la PR
trouble cutané	comme des défauts de pigmentation
cellule avec des détergent	comme le CHAPS , le Brij58 , le Brij96 , le Brij97 et le Brij98
protéine	comme notamment la ligase III et la polymérase ?
IC-FEP	considérée comme une maladie de la diastole ventriculaire gauche (IC diastolique)
génome viral	consiste en un ARN simple
SEP	constitue un prototype d' affection chronique nécessitant une prise en charge multidisciplinaire bien coordonnée entre les différents intervenants
trouble neurologique	d'autres épilepsie , signes de focalisation
forme d'une uvéite granulomateuse	d'autres uvéites infectieuses (virus du groupe herpès , tuberculose , syphilis , toxoplasmose , maladie de Lyme…) , maladies générales (sclérose en plaques , maladie de Vogt-Koyanagi-Harada) , entités ophtalmologiques (hétérochromie de Fuchs , ophtalmie sympathique , uvéite phaco-antigénique) , uvéites médicamenteuses et pseudo-uvéites (lymphome oculocérébral)
anticoagulant circulant	de type antiprothrombinase
traumatisme crânien grave	défini un GCS = 8 , ce qui correspond à l' absence de réponse (verbale ou motrice) aux ordres simples
syndrome inflammatoire biologique	défini par une vitesse de sédimentation globulaire (VS) supérieure à 20 mm la première heure chez les hommes et supérieure à 30 chez les femmes et/ou une protéine C-réactive (CRP) supérieure à 6 mg/l
uvéite antérieure chronique granulomateuse	définie des précipités rétrocornéens larges , typiquement « en graisse de mouton » ou des nodules iriens , véritables granulomes histologiquement prouvés
« Glasgow coma scale »	définie l' échelle définie par l' équipe de Glasgow
connectivite	définie un lupus
protéine IHF	est la la NAP présentant la plus forte spécificité de fixation à l' ADN avec une séquence consensus clairement définie
myocardite	définie comme une « inflammation du myocarde » associée ou non à une nécrose myocytaire
myocardite	définie comme myocardite active , frontière , persistante , en voie de guérison , ou guérie
uvéite antérieure	définie par une atteinte de l'iris et des corps ciliaires
atteinte muqueuse	définie par une infiltration de la muqueuse sans atteinte de la musculeuse ou de la sous-séreuse
intervention pharmaceutique	définie par toute action initiée par un pharmacien qui induit directement une modification de la prise en charge du patient
lésion unique ou multiple de grande taille	définie par un diamètre supérieur à 2 cm
malnutrition	définie par un IMC inférieur à 18 ,5–20 kg/m2
attaques de sommeil	définies commes la survenue brutale , irrésistible et sans prodrome d' un épisode de sommeil
régions du système nerveux central	bulbaire , cervicale , thoracique et lombosacrée
vivant	définition : toute entité biologique présentant la capacité de se reproduire
SIAD	définition correspond à une sécrétion d'HAD détectable en l'absence de stimulus osmotique ou volémique
granulome choroïdien	choroïdite
thyroïdite auto-immune	dénommée « encéphalopathie associée aux maladies thyroïdiennes auto-immunes »
imagerie corrélative	dite « hybride » ou « multimodalité »
pathologie grave non thyroïdienne	en particulier l' insuffisance rénale et la dialyse
rhumatisme inflammatoire	en particulier la polyarthrite rhumatoïde
bronchopneumopathie chronique obstructive	en particulier bronchectasies ou d' une mucoviscidose
Vaccination	en particulier : antigrippale , anti-hépatite A et B , antipneumococcique
myocardite virale	en particulier infection , réplication , réponse auto-immune , remodelage ventriculaire
pathologie infectieuse ou maligne	en particulier lymphome
enzyme	en particulier la protéine cationique éosinophile
marqueurs tumoraux	alpha foetoprotéine , antigène prostatique spécifique , CA-125 , CA-19 ,9 , et CA- 15 ,3
syndrome métabolique	encore appelé syndrome X)
ostéoporose	est une maladie du remodelage osseux caractérisée par une augmentation de la résorption par rapport à la formation osseuse
sonde	est appelé par convention Le brin d' ADN de séquence connu , et dont la séquence est spécifique d' un gène de l' espèce étudiée
dysfonctionnement cognitif	est défini comme un déficit dans un ou plusieurs des huit domaines suivants : l'attention simple et complexe , la mémoire (apprentissage et rappel) , le processus visuospatial , le langage (fluence verbale) , le raisonnement (résolution de problème) , la vitesse psychomotrice et les fonctions exécutives (planifier , organiser , séquencer)
neutropénie	est définie comme une diminution du chiffre absolu des polynucléaires neutrophiles (PNN) du sang au-dessous de 1 ,5 G/L
pour l' AMB la CMI	est définie comme la plus petite concentration entraînant une inhibition complète de la pousse du champignon
hypoglycémie	est définie par une glycémie capillaire ou veineuse inférieure à 3 ,3 mmol/L
STB	est définie par une triade clinique : déficience mentale , épilepsie et angiofibrome de la face
lésion retardée	est définie par l' apparition d' une ou de plusieurs nouvelles images hémorragiques et/ou l' aggravation d' une image initiale
élastance artérielle	est définie par le ratio Pes/VES où Pes est la pression VG télésystolique
fibromyalgie	est définie par un syndrome douloureux chronique de l' appareil locomoteur associé à des manifestations fonctionnelles très variées : troubles du sommeil , céphalée , points douloureux , seuil de douleur abaissé , fatigue générale , troubles digestifs , anxiété générale , dépression
poussée « cutanéo-articulaire »	est l' l'expression clinique la plus fréquente des poussées lupiques
sclérose latérale amyotrophique	est l' l' affection la plus fréquente des maladies du neurone moteur
MP	est la la seule maladie neuro-dégénérative pour laquelle un traitement de substitution à base du neuromédiateur manquant s' est révélé efficace
paludisme	est la la maladie parasitaire la plus fréquente au monde
amitiptyline	est un antidépresseur sédatif
lupus érythémateux systémique	est une maladie auto-immune systémique touchant préférentiellement la peau et les articulations
hyperosmolarité diabétique	est une affection dont le pronostic reste sévère
PTI	est une affection auto-immune
embolie pulmonaire	est une maladie fréquente
POI	est une complication rare mais potentiellement grave du LES qui peut inaugurer la maladie ou être la seule manifestation d'une poussée
angéite granulomateuse allergique	est une affection rare et parmi les moins fréquentes des vascularites systémiques
FE	est une maladie rare , sporadique , et d'étiologie inconnue
syndrome de vasoconstriction cérébrale réversible	est une affection caractérisée par une vasoconstriction prolongée , mais spontanément réversible des artères cérébrales , survenant de façon spontanée ou dans des circonstances particulières (post-partum , utilisation de substances vasoactives)
EH	est une maladie , si elle existe , rare , parfois mortelle
hémophilie A acquise	est une maladie hémorragique liée au développement d'un auto-anticorps dirigé contre le facteur VIII
CAIX	est un marqueur de l'hypoxie , notamment en cancérologie
maladie de Parkinson	est une maladie neuro-dégénérative d' hypo-motricité
MP	est un trouble moteur
MP	est une maladie neuro-dégénérative progressive qui touche les neurones dopaminergiques de la substance noire
diminution rapide de la synthèse protéique et l' inhibition de la synthèse protéique	est un mécanisme neuroprotecteur puissant en particulier vis à vis du glutamate
CD53	est un marqueur leucocytaire
CD53	est par exemple un marqueur leucocytaire
hyperparathyroïdie primitive	est une affection relativement fréquente
MP	est une maladie neuro-dégénérative
Xeroderma pigmentosum	est une maladie génétique
Xeroderma pigmentosum	est une maladie autosomale récessive et les gènes codant pour les protéines XP sont tous sur des loci appartenant à des chromosomes différents
syndrome de Cockayne	est une maladie autosomale récessive
trichotiodystrophie	est une maladie génétique très rare (sa prévalence n' est pas connue)
Xeroderma pigmentosum	est une maladie autosomale récessive
syndrome de Cockayne	est une maladie très rare
sclérose latérale amyotrophique	est une maladie neurodégénérative rare d' étiologie indéterminée
sclérose en plaques	est une maladie neuro-inflammatoire
asthme	est une maladie de la barrière épithéliale bronchique , le plus souvent associée à l' allergie chez l' enfant
asthme	est une maladie de la barrière épithéliale bronchique qui est souvent associée à l' allergie chez l' enfant
narcolepsie	est une affection chronique caractérisée par une tétrade symptomatique
trouble mental	et d'autres comme les trouble maniaques
maladie systémique	et les autres sont le syndrome de Sjögren , la sarcoïdose et les vascularites
type de chondropathie	était défini comme suit : l' amincissement cartilagineux est une perte de substance de plus de 5 mm de largeur dans le plan étudié ou une inversion du gradient cartilagineux
HNA-2	étant défini par des iso-anticorps produits par des individus dont les polynucléaires neutrophiles (PNN) n'expriment pas cette glycoprotéine
facteur soluble TIMP-1	fait partie de protéines inhibitrices des métalloprotéases de la matrice extracellulaire
moyens d' imagerie	tels que l' échographie et l' IRM
fonction autonome	incluent notamment le péristaltisme digestif , le larmoiement , les fonctions sexuelles , le contrôle de la pression artérielle et la variabilité du rythme cardiaque
Xeroderma pigmentosum	décrivant comme une maladie héréditaire prédisposant au cancer induit par le soleil
crise non épileptique psychogène	Les autres crises somatoformes , troubles factices , simulations
atteinte digestive	notamment viscérales
tumeur	notamment neuroblastomes olfactifs
infection opportuniste	notamment mycobactériose , candidose , histoplasmose
tuberculose	notamment causes infectieuses
antiépileptique	notamment la gabapentine et la prégabaline
vélocité diastolique	notamment Une vélocité anormale sur une des deux artères cérébrales moyennes
infection	notamment par le VIH et tuberculose
complication sensorielle	notamment la cataracte cortico-induite
corticoïde	notamment la prednisone
nouvelles méthodes d' imagerie médicale	notamment particulièrement l' IRM
protéine virale	notamment d'autres les protéines non structurales
protéine cellulaire	notamment neuroeendocrines
cancer	notamment sein , des poumons , de la rate , et de l' estomac
régulation des systèmes de réparation	notamment la réponse adaptative cellulaire
enzyme	notamment les polymérases
gène	notamment les opérons d' ARNr
opéron d' ARN ribosomique	notamment gènes nécessaires à la croissance
cancer	notamment digestifs
méningite bactérienne lymphocytaire	notamment tuberculose et listériose
agent fongique	notamment Histoplasma
structure cérébrale	notamment d' autres capsule interne , tractus visuel
pathologie démyélinisante ou dégénérative cérébrale	notamment la SEP , la maladie d'Alzheimer , mais également dans le syndrome d'apnée du sommeil
antibiotique et corticothérapie	traitement administrés susceptibles d'influer sur les processus physiopathologiques inflammatoires
graisses	notamment saturées
protéine	notamment : le cytochrome P450 , la glutathion S-transférase , les monoamines oxydases A et B , la N-acétyl transférase , la protéine Tau et la parkin
facteurs hormonaux	notamment telle que l'aldostérone pour la kaliémie
nouvelles méthodes d' imagerie médicale	particulièrement l' IRM
membre inférieur	plantes des pieds
bactérie	Yersinia , Salmonella
médicaments anti-infectieux	antibiotiques , antimycosiques , antiviraux
signe végétatif	hypotension , hypothermie , bradycardie
SIAD est sévère	c'est-à-dire l'osmolarité urinaire minimale est élevée (800–1000 mosmol/kg) et la charge osmolaire faible notamment par inappétence
alkylation des bases	est un  phénomène qui a lieu naturellement dans les cellules , notamment à travers les méthylations de bases
ATM	est un senseur de dommage capable d' activer des voies de signalisation agissant notamment sur le cycle cellulaire et sur la recombinaison homologue
maladie de Kawasaki	ou syndrome adéno-cutanéo-muqueux
protéine désiminée	ou « citrullinées »
élément appelé « C	ou C-gate
Bartonellose	ou maladie des griffes du chat
cortex cérébral	ou néocortex
choc hémorragique chirurgical	par exemple une rupture splénique
hypertension artérielle	par exemple PAM à 100 mmHg
comprimés à libération prolongée	par exemple Kaléorid® , Topalgic® LP
comorbidité	par exemple une co-infection VIH ou VHB
infection	par exemple endocardite infectieuse
organe extrathoracique	par exemple uvéite , syndrome sec ou sarcoïdes cutanées
lithium	par exemple les médicaments pouvant inhiber la pénétration de l' iode dans la thyroïde
paracétamol	par exemple Efferalgan® et Di-antalvic® ou Zaldiar® ou Ixprim®
connectivite	par exemple lupus systémique , syndrome de Sjögren , polyarthrite rhumatoïde , myopathies inflammatoires
segments membre	par exemple, comme la cuisse
séquelle d'infarctus	rehaussement tardif sous endocardique
efflux anagène	une chute des cheveux dystrophiques suite à un arrêt brutal de la phase de croissance
composé toxique	comme les sels biliaires
protéines EWI-2 et CD81	protéines palmitoylées
DM1	peut être considérée comme une maladie de l'ARN
spondylarthropathies (SP)	regroupent la spondylarthrite ankylosante (SPA) ou pelvispondylite rhumatismale (PSR) , le syndrome de Reiter et les arthrites réactionnelles (AR) , le rhumatisme psoriasique (RP) et les manifestations articulaires des entérocolopathies inflammatoires chroniques
vascularites du système nerveux central	regroupent un grand nombre d'affections se caractérisant par une atteinte inflammatoire de la paroi des vaisseaux cérébraux ou médullaires
maladie de Parkinson	représente l' affection neurodégénérative la plus répandue , après la maladie d' Alzheimer
myocardite	reste définie comme une « inflammation du myocarde »
anxiété	se définit comme l'anticipation d'un danger ou d'un incident se manifestant par une appréhension , une dysphorie et comprend l'anxiété généralisée , les troubles paniques et les troubles obsessionnels compulsifs
atteinte médullaire	se traduit par une para- ou une tétraparésie plus ou moins sévère associée à des troubles sensitifs qui peuvent toucher tous les modes , des troubles sphinctériens (deux tiers des cas) et un niveau sensitif
manifestation neuropsychiatrique	ischémie cérébrale , épilepsie , psychose
« l'échographie et/ou la scintigraphie »	signifie la scintigraphie thyroïdienne , moins disponible , est loin d'être systématique
anomalie électrocardiographique	troubles de la conduction auriculo-ventriculaire et intra-ventriculaires (blocs de branche droite) et les troubles du rythme , essentiellement ventriculaires
manifestation neuropsychiatrique	céphalées , des troubles de la concentration , une apathie , un ralentissement psychomoteur , voire la stupeur , une ataxie , des hallucinations ou encore une anxiété ou un syndrome dépressif [
sarcoïdose , la maladie de Crohn et le syndrome Blau	maladies inflammatoires granulomateuses chroniques
myocardite	sont définies comme des maladies inflammatoires du myocarde qui peuvent intéresser les myocytes , le tissu interstitiel et souvent le péricarde
syndrome parkinsonien	sont définis par une association de six troubles moteurs particuliers : le tremblement de repos , la rigidité musculaire , l' akinésie , une posture fléchie (Figure 1) , le phénomène de freezing , et une instabilité posturale
déficit en récepteur de l' IFN-gamma comme celui en IL- 12 et en récepteur de l' IL-12	maladies génétiques nouvellement décrites qui touchent l' enfant et l' adulte et qui sont marquées par une susceptibilité sévère et sélective vis-à-vis des mycobactéries peu virulentes
infection aspergillaire invasive	des maladies sévères
rétinopathie associée aux cancer	des affection rétiniennes rares caractérisées par la présence d' une baisse d' acuité visuelle progressive , le plus souvent bilatérale , s' associant à une héméralopie et d' un scotome annulaire
traumatisme psychiqu	tel qu' une chute , une maladie , un événement pénible
atteinte extra-neurologique	tel que le livedo du syndrome de Sneddon [101] , les douleurs acrales et les angiokératomes de la maladie de Fabry , les stries angioïdes et les lésions des grands plis du pseudoxanthome élastique [102] , ou encore l'atteinte rétino-cochléaire du syndrome de Susac
pathologie multifactorielle	telle la maladie de Crohn
famille d' antithrombotiques	telle que les AT directes comme l' hirudine (lépirudine ou désirudine)
sérins-protéase	telle que la thrombine et le facteur Stuart
cellule anormale	telle que des blastes (leucémie) , des schizocytes
traceur	telle que d'autres les leucocytes marqués au technétium
pathologie	telle que l' épilepsie , l' ischémie cérébrale , la sclérose latérale amniotrophique , la maladie d' Alzheimer , la maladie de Parkinson et la schizophrénie
molécule sonde	telle que anticorps , récepteurs ou ligands , acides nucléiques
cellules du sang périphérique	telles que les cellules B , T et NK
cellule immunitaire humaine	telle que les cellules T
tétraspanine	telle que d' autres CD63 , CD81 CD82
voie de signalisation intracellulaire	telle que ERK/MAPK
molécules sur les lymphocytes T	telles que CD4 et CD8
tétraspanine	telle que CD81 , CD82 , CD9 et CD63
CD81 , CD82 , CD9	telles que des compartiments légèrement acides (pH 6 ,2) riches en tétraspanines
réaction cutanée	telle que l' apparition de rougeurs , des crises urticaires
tétraspanine	telle que CD63 , CD82 , CD37 , CD151 et Co-029
HTLV-1	retrovirus responsable de la paraparésie spastique tropicale
comorbidité	tels que l'insuffisance rénale
facteur de risque cardiovasculaire	tels que le contrôle de l'HTA , de la dyslipidémie et l'arrêt du tabac
facteurs de risque	tels que l'âge et l'HTA
facteurs susceptibles d'interférer avec l'alimentation	tels que l'isolement , le mauvais état buccodentaire , les difficultés économiques , les troubles psychocognitifs et la comorbidité
signe neurologique peu spécifique	tels que vertiges , désorientation , chute ou troubles du comportement
prise en charge des facteurs de risque cardiovasculaire	tels que le contrôle de l'HTA , de la dyslipidémie et l'arrêt du tabac
accident périphérique	tels que l' hypoxémie ou l' hypotension artérielle
antigène spécifique de Mycobacterium tuberculosis	tels que la catalase-peroxydase
facteurs de transcription	tels que d'autres les récepteurs activés par les proliférateurs de peroxysomes
comportements d' auto-mutilation	tels que des morsures
fluide biologique	tels que sérum , plasma , urine , liquide pleural… , ou extraits protéiques bruts issus de tissus ou cellules
molécule	tels que l' héparane sulfate , le LDL-R et SR-BI
virus neurotropes	tels que VIH , HTLV-1 ou cytomegalovirus
mécanisme homéostatique	tels que la régulation de la glycémie ou de la température
gènes liés à biologie neurale	tels que NEFL , GABRA1 , SYT1 et SLC12A
germe	tels que d'autres Propionibacterium acnes
stress somatique ou psychique	activité limbique
affection oculaire	toute autre dégénérescence maculaire , glaucome
vascularite systémique	une autre maladie de Wegener , polyangéite microscopique , périartérite noueuse
déficit auditif	troubles de l'audition ou nécessitant l'utilisation de prothèses auditives
déficit visuel	troubles de la vision malgré le port de lunettes
signe neurologique peu spécifique	vertiges , désorientation , chute ou troubles du comportement
phénomènes douloureux	brûlures , picotements , paresthésies , allodynie , hyperalgie
hémopathie maligne	y compris le myélome sécrétant
amylose AL	maladie des dépôts d'immunoglobulines monoclonales
amylose AL ou d'une maladie de Randall	affections qui modifient le pronostic du myélome
quatre grandes fièvres héréditaires périodiques	TRAPS ou fièvre hibernienne -Maladie périodique (fièvre méditerranéenne familiale) -Syndrome de Muckle-Wells , et proche l' urticaire au froid familiale -Syndrome Hyper-IgD Rares
maladie d' Alzheimer	maladie neurodégénérative
symptôme moteur parkinsonien	y compris le tremblement de repos
ubiquitination	consiste en l' ajout d' un peptide d' ubiquitine sur une protéine
syndrome de Cockayne	maladie très rare
spectrométrie de masse en temps de vol	consiste à accélérer tous les ions à la même énergie cinétique
fusion d' images	consiste à à mettre en correspondance des images d' une même modalité d' imagerie (fusion monomodale) acquises à des instants différents ou bien des images de modalités d' imagerie différentes (fusion multimodale)
signes généraux	fièvre , amaigrissement , sueurs nocturnes
efflux télogène	un passage prématuré des cheveux de la phase de croissance à la phase de repos
précipités rétrodescémétiques pouvant avoir ou non un aspect granulomateux	PRD en graisse de mouton
uvéite infectieuse	rétinochoroïdites toxoplasmiques , kérato-uvéites herpétiques
entérocolopathie inflammatoire chronique	maladie de Crohn et rectocolite ulcérohémorragique
endoscopie	examens digestifs systématiques
maladie hyperostosante	maladie de Forestier
élastance artérielle	Ea , inverse de la compliance artérielle
amylose cardiaque	rehaussement diffus
hémopathie maligne	essentiellement syndromes lymphoprolifératifs
rigidité musculaire	résistance à un mouvement passif des membres
trouble respiratoire et cardiovasculaire	bronchospasmes , hypotension
atteinte des muscles lisses	troubles digestifs
atteinte cardiaque	cardiomyopathie , troubles de la conduction et troubles du rythme
trouble endocrinien et ophtalmologique	cataracte , kératite
atteinte hépatique sévère	stade F3-F4
synucléinopathie	maladie de Parkinson , atrophie multisystématisée
blocs de branche droite	trouble de la conduction auriculo-ventriculaire et intra-ventriculaires
fibrose médiastinale	post-irradiation , post-infectieuse notamment tuberculeuse
uvéite infectieuse	virus du groupe herpès , tuberculose , syphilis , toxoplasmose , maladie de Lyme…
entité ophtalmologique	hétérochromie de Fuchs , ophtalmie sympathique , uvéite phaco-antigénique
uvéite médicamenteuse et pseudo-uvéite	lymphome oculocérébral
crise partielle simple	sans trouble de la vigilance
complexe	avec trouble de la vigilance
anomalies structurales pouvant expliquer la crise	cicatrice tissulaire , d'origine inflammatoire ou ischémique
thrombine	facteur IIa
facteur Stuart	facteur Xa
passage prématuré des cheveux de la phase de croissance à la phase de repos	efflux télogène
avoir ou non un aspect granulomateux	PRD en graisse de mouton
uvéites infectieuses diagnostiquées par l'examen ophtalmologique seul	rétinochoroïdites toxoplasmiques , kérato-uvéites herpétiques
antifongique	itraconazole
